text,poster,views,comments,length,link,users
" Russian security forces storm prison, kill Islamic State hostage takers ",Philligan,9.0K Views,15 Comments,0:31,https://theworldwatch.com/videos/1619481/russian-security-forces-storm-prison-kill-islamic-state-hostage-takers/,"{' ': 'No link available', 'i_am_never_wrong': 'https://theworldwatch.com/members/1324178/', 'Amtifree': 'https://theworldwatch.com/members/1321243/', 'NoWayInHell': 'https://theworldwatch.com/members/1322638/', 'Essohbe': 'https://theworldwatch.com/members/1323662/', 'Cripple': 'https://theworldwatch.com/members/1320263/', 'ScreaminMime': 'https://theworldwatch.com/members/1323106/', 'wmr2': 'https://theworldwatch.com/members/1319316/', 'Phuc_Libtards': 'https://theworldwatch.com/members/1324446/', 'Naap51stang': 'https://theworldwatch.com/members/1323703/', 'HateYew': 'https://theworldwatch.com/members/1322688/', 'LordTorquemada': 'https://theworldwatch.com/members/1318226/', 'Inaminute': 'https://theworldwatch.com/members/1322078/', 'The_Carcass_Kid': 'https://theworldwatch.com/members/1323232/', 'Hungwhitemale4tw': 'https://theworldwatch.com/members/1323643/'}"
 2 Pitbulls Mauling a Intruder to Death as People throw Stones at Dogs ,The Seer,4.9K Views,13 Comments,0:30,https://theworldwatch.com/videos/1619490/2-pitbulls-mauling-and-intruder-to-death-as-people-throw-stones-at-dogs/,"{' ': 'No link available', 'WessyD': 'https://theworldwatch.com/members/1324564/', 'BigJimsWornOutTireSale': 'https://theworldwatch.com/members/1323681/', 'Mark_R': 'https://theworldwatch.com/members/1324164/', 'Fk12andfkyou': 'https://theworldwatch.com/members/1324649/', 'MaxiePaddy': 'https://theworldwatch.com/members/871125/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'Phuc_Libtards': 'https://theworldwatch.com/members/1324446/', 'Superb Nipple Man': 'https://theworldwatch.com/members/1324276/', 'SouthParkBadGuy': 'https://theworldwatch.com/members/1324500/', 'LordTorquemada': 'https://theworldwatch.com/members/1318226/'}"
 Woman Kills her Own Mother With Her Car and Then Hits Cop with it.... ,Karelin,3.0K Views,4 Comments,0:18,https://theworldwatch.com/videos/1619491/woman-kills-her-own-mother-with-her-car-and-then-hits-cop-with-it/,"{' ': 'No link available', 'Kunter-X': 'https://theworldwatch.com/members/1324168/', 'Elwapito': 'https://theworldwatch.com/members/1324617/', 'KillerManJaro': 'https://theworldwatch.com/members/1324629/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/'}"
 Gamer Chicks... ,sally,5.2K Views,6 Comments,2:20,https://theworldwatch.com/videos/1619514/gamer-chicks/,"{' ': 'No link available', 'ThatWasFunny': 'https://theworldwatch.com/members/1324622/', 'Kunter-X': 'https://theworldwatch.com/members/1324168/', 'Phuc_Libtards': 'https://theworldwatch.com/members/1324446/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'Hackintosh': 'https://theworldwatch.com/members/1319936/', 'Superb Nipple Man': 'https://theworldwatch.com/members/1324276/'}"
 Coolest Most Dangerous Job...Especially for the Little Piggies ,The Seer,3.2K Views,8 Comments,1:29,https://theworldwatch.com/videos/1619496/coolest-most-dangerous-job-especially-for-the-little-piggies/,"{' ': 'No link available', 'Kunter-X': 'https://theworldwatch.com/members/1324168/', 'Pablocoo': 'https://theworldwatch.com/members/1322692/', 'Phuc_Libtards': 'https://theworldwatch.com/members/1324446/', 'trumprapedawoman': 'https://theworldwatch.com/members/1324643/', 'munwon': 'https://theworldwatch.com/members/1321222/', 'KillerManJaro': 'https://theworldwatch.com/members/1324629/', 'Nanker_Phelge': 'https://theworldwatch.com/members/1321011/', 'InsanityDaily.com': 'https://theworldwatch.com/members/1320786/'}"
 Brazil: Man Killed his Girl Brutally...See News Strong images ,The Seer,3.8K Views,4 Comments,0:49,https://theworldwatch.com/videos/1619501/brazil-man-killed-his-girl-brutally/,"{' ': 'No link available', 'Kunter-X': 'https://theworldwatch.com/members/1324168/', 'WessyD': 'https://theworldwatch.com/members/1324564/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'Superb Nipple Man': 'https://theworldwatch.com/members/1324276/'}"
" Gangster says ""Here, Hold my Glock"" ",Philligan,3.2K Views,6 Comments,0:30,https://theworldwatch.com/videos/1619519/gangster-says-here-hold-my-glock/,"{' ': 'No link available', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'SouthParkBadGuy': 'https://theworldwatch.com/members/1324500/', 'Phuc_Libtards': 'https://theworldwatch.com/members/1324446/', 'Naap51stang': 'https://theworldwatch.com/members/1323703/', 'Superb Nipple Man': 'https://theworldwatch.com/members/1324276/'}"
" Sc Called ""Friend"" Records as man tries to Hang Himself with his Family Home ",Philligan,2.3K Views,4 Comments,0:39,https://theworldwatch.com/videos/1619508/sc-called-friend-records-as-man-tries-to-hang-himself-with-his-family-home/,"{' ': 'No link available', 'LordTorquemada': 'https://theworldwatch.com/members/1318226/', 'Hackintosh': 'https://theworldwatch.com/members/1319936/', 'Smores69': 'https://theworldwatch.com/members/1323937/', 'SouthParkBadGuy': 'https://theworldwatch.com/members/1324500/'}"
 Don't let your Kid get that Close to a Camel ,sally,3.1K Views,4 Comments,0:07,https://theworldwatch.com/videos/1619510/don-t-let-your-kid-get-that-close-to-a-camel/,"{' ': 'No link available', 'Kunter-X': 'https://theworldwatch.com/members/1324168/', 'WessyD': 'https://theworldwatch.com/members/1324564/', 'Phuc_Libtards': 'https://theworldwatch.com/members/1324446/', 'KillerManJaro': 'https://theworldwatch.com/members/1324629/'}"
 Mom watches as Dad Beats the heck out of his Son after School ,HMG87,3.5K Views,10 Comments,4:09,https://theworldwatch.com/videos/1619517/mom-watches-as-dad-beats-the-heck-out-of-his-son-after-school/,"{' ': 'No link available', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'flattus1978': 'https://theworldwatch.com/members/1113139/', 'WessyD': 'https://theworldwatch.com/members/1324564/', 'Jasondr91': 'https://theworldwatch.com/members/623283/', 'Motorrunner223': 'https://theworldwatch.com/members/1323161/', 'Chucknorrit': 'https://theworldwatch.com/members/1323808/', 'KillerManJaro': 'https://theworldwatch.com/members/1324629/', 'Cripple': 'https://theworldwatch.com/members/1320263/', 'Hackintosh': 'https://theworldwatch.com/members/1319936/'}"
" Social Media Influencer ""Sneako"" Gets His Teeth Knocked out by Security Gu... ",Karelin,3.7K Views,6 Comments,0:57,https://theworldwatch.com/videos/1619495/social-media-influencer-sneako-gets-his-teeth-knocked-out-by-security-guard-at-club/,"{' ': 'No link available', 'Kunter-X': 'https://theworldwatch.com/members/1324168/', 'Phuc_Libtards': 'https://theworldwatch.com/members/1324446/', 'thesithguy': 'https://theworldwatch.com/members/1323428/', 'Naap51stang': 'https://theworldwatch.com/members/1323703/', 'MrMalevolent': 'https://theworldwatch.com/members/1322320/', 'Hackintosh': 'https://theworldwatch.com/members/1319936/'}"
 Short Video of Russian Woman being Stripped by Thugs ,The Seer,64K Views,22 Comments,0:20,https://theworldwatch.com/videos/1619507/short-video-of-russian-woman-being-stripped-by-thugs/,"{' ': 'No link available', 'bobross12323': 'https://theworldwatch.com/members/1324652/', 'aang69': 'https://theworldwatch.com/members/1321241/', 'Numiah': 'https://theworldwatch.com/members/4655/', 'LordTorquemada': 'https://theworldwatch.com/members/1318226/', 'Kunter-X': 'https://theworldwatch.com/members/1324168/', 'Northantsno1': 'https://theworldwatch.com/members/1323403/', 'Mark_R': 'https://theworldwatch.com/members/1324164/', 'BattlefieldVET': 'https://theworldwatch.com/members/1324042/', 'BigJimsWornOutTireSale': 'https://theworldwatch.com/members/1323681/', 'ilovemyboyfriendsomuch.': 'https://theworldwatch.com/members/1324642/', 'SexyNative': 'https://theworldwatch.com/members/1324119/', 'PriestForLongerWangs': 'https://theworldwatch.com/members/33644/', 'fnbs1': 'https://theworldwatch.com/members/1323234/', 'southgate': 'https://theworldwatch.com/members/1322285/', 'michealjordan96': 'https://theworldwatch.com/members/1320049/', 'ThatWasFunny': 'https://theworldwatch.com/members/1324622/', 'OtakuLoves': 'https://theworldwatch.com/members/1155368/', 'Cripple': 'https://theworldwatch.com/members/1320263/', 'munwon': 'https://theworldwatch.com/members/1321222/'}"
 Mom and 2 Daughters on the same Bike....6/17/2024 ,sally,1.4K Views,2 Comments,0:46,https://theworldwatch.com/videos/1619520/mom-and-2-daughters-on-the-same-bike-6-17-2024/,"{' ': 'No link available', 'Smores69': 'https://theworldwatch.com/members/1323937/', 'Superb Nipple Man': 'https://theworldwatch.com/members/1324276/'}"
 FINAL DESTINATION: Man is Ejected from his Car and thrown into Power Generator ,The Seer,2.6K Views,7 Comments,0:06,https://theworldwatch.com/videos/1619499/final-destination-man-is-ejected-from-his-car-and-thrown-into-power-generator/,"{' ': 'No link available', 'MUNCHIE9000': 'https://theworldwatch.com/members/1323150/', 'Kunter-X': 'https://theworldwatch.com/members/1324168/', 'Cripple': 'https://theworldwatch.com/members/1320263/', 'narax38053': 'https://theworldwatch.com/members/1324633/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'Hackintosh': 'https://theworldwatch.com/members/1319936/', 'RAUREN': 'https://theworldwatch.com/members/1324639/'}"
 I Think This Relationship Can be Classified as Toxic ,Karelin,2.7K Views,6 Comments,0:23,https://theworldwatch.com/videos/1619492/i-think-this-relationship-can-be-classified-as-toxic/,"{' ': 'No link available', 'aang69': 'https://theworldwatch.com/members/1321241/', 'SouthParkBadGuy': 'https://theworldwatch.com/members/1324500/', 'Phuc_Libtards': 'https://theworldwatch.com/members/1324446/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'Cripple': 'https://theworldwatch.com/members/1320263/', 'NoWayInHell': 'https://theworldwatch.com/members/1322638/'}"
" Samara, Russia. Horrific Bus Fire Kills 10..Multiple Recordings ",Philligan,2.5K Views,12 Comments,2:57,https://theworldwatch.com/videos/1619505/samara-russia-horrific-bus-fire-kills-10-multiple-recordings/,"{' ': 'No link available', 'MUNCHIE9000': 'https://theworldwatch.com/members/1323150/', 'Pablocoo': 'https://theworldwatch.com/members/1322692/', 'SouthParkBadGuy': 'https://theworldwatch.com/members/1324500/', 'munwon': 'https://theworldwatch.com/members/1321222/', 'TortureAndKillAllConspiracyCunts': 'https://theworldwatch.com/members/1321759/', 'Chucknorrit': 'https://theworldwatch.com/members/1323808/', 'Phuc_Libtards': 'https://theworldwatch.com/members/1324446/', 'southgate': 'https://theworldwatch.com/members/1322285/', 'KillerManJaro': 'https://theworldwatch.com/members/1324629/'}"
 Turkey: Shocking Image of the Armed Attack That Killed 2 People ,sally,2.6K Views,1 Comments,0:30,https://theworldwatch.com/videos/1619502/turkey-shocking-image-of-the-armed-attack-that-killed-2-people/,"{' ': 'No link available', 'SouthParkBadGuy': 'https://theworldwatch.com/members/1324500/'}"
 Worker dies Crushed by Refrigerator that falls on Him ,sally,2.3K Views,5 Comments,0:46,https://theworldwatch.com/videos/1619498/worker-dies-crushed-by-refrigerator-that-falls-on-him/,"{' ': 'No link available', 'CheeseyVaginas': 'https://theworldwatch.com/members/1321984/', 'Hackintosh': 'https://theworldwatch.com/members/1319936/', 'watchful': 'https://theworldwatch.com/members/1324241/', 'KillerManJaro': 'https://theworldwatch.com/members/1324629/', 'Smores69': 'https://theworldwatch.com/members/1323937/'}"
 Brazil: Motorcyclist comin at Ya..Nearly Kills Innocent Woman on Side of Road ,Philligan,1.7K Views,3 Comments,0:18,https://theworldwatch.com/videos/1619504/brazil-motorcyclist-comin-at-ya-nearly-kills-innocent-woman-on-side-of-road/,"{' ': 'No link available', 'Hackintosh': 'https://theworldwatch.com/members/1319936/', 'KillerManJaro': 'https://theworldwatch.com/members/1324629/', 'whyohwhy': 'https://theworldwatch.com/members/1324179/'}"
" Bikini Barrista Gets Drink Thrown at Her, She Retaliates with Hammer. ",Karelin,5.4K Views,11 Comments,1:03,https://theworldwatch.com/videos/1619494/bikini-barrista-gets-drink-thrown-at-her-she-retaliates-with-hammer/,"{' ': 'No link available', 'LordTorquemada': 'https://theworldwatch.com/members/1318226/', 'Motherfocker78': 'https://theworldwatch.com/members/1321367/', 'Numiah': 'https://theworldwatch.com/members/4655/', 'phuckislam': 'https://theworldwatch.com/members/1324254/', 'Phuc_Libtards': 'https://theworldwatch.com/members/1324446/', 'SilanganinPhilippino': 'https://theworldwatch.com/members/1322990/', 'Cripple': 'https://theworldwatch.com/members/1320263/', 'Hackintosh': 'https://theworldwatch.com/members/1319936/', 'Smores69': 'https://theworldwatch.com/members/1323937/', 'Salinan': 'https://theworldwatch.com/members/1320115/', 'RadioactiveMan': 'https://theworldwatch.com/members/1324627/'}"
 Instant Karma: Jet ski Kid does Drive-By then gets Instant Karma ,sally,10K Views,8 Comments,0:29,https://theworldwatch.com/videos/1619482/instant-karma-jet-ski-kid-does-drive-by-then-gets-instant-karma/,"{' ': 'No link available', 'Phuc_Libtards': 'https://theworldwatch.com/members/1324446/', 'usarmyretiredsgm': 'https://theworldwatch.com/members/1323140/', 'ScottNW63': 'https://theworldwatch.com/members/1324532/', 'LordTorquemada': 'https://theworldwatch.com/members/1318226/', 'The_Carcass_Kid': 'https://theworldwatch.com/members/1323232/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/'}"
 Liberal Karen Assaults 12-Year-Old boy For Carrying an American Flag ,JohnRocker,4.7K Views,22 Comments,1:16,https://theworldwatch.com/videos/1619493/liberal-karen-assaults-12-year-old-boy-for-carrying-an-american-flag/,"{' ': 'No link available', 'jdrewrd': 'https://theworldwatch.com/members/1321662/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'Jasondr91': 'https://theworldwatch.com/members/623283/', 'Kunter-X': 'https://theworldwatch.com/members/1324168/', 'SouthParkBadGuy': 'https://theworldwatch.com/members/1324500/', 'Nutmeg50': 'https://theworldwatch.com/members/151757/', 'phergus': 'https://theworldwatch.com/members/1320629/', 'fordmadion': 'https://theworldwatch.com/members/1324565/', 'Phuc_Libtards': 'https://theworldwatch.com/members/1324446/', 'KillerManJaro': 'https://theworldwatch.com/members/1324629/', 'Bigoaf6': 'https://theworldwatch.com/members/1323473/', 'Hackintosh': 'https://theworldwatch.com/members/1319936/', 'Smores69': 'https://theworldwatch.com/members/1323937/', 'Salinan': 'https://theworldwatch.com/members/1320115/', 'Disknave': 'https://theworldwatch.com/members/1324535/', 'Amtifree': 'https://theworldwatch.com/members/1321243/', 'Blindeel': 'https://theworldwatch.com/members/1324151/', 'nleeklee': 'https://theworldwatch.com/members/1318980/', 'The_Carcass_Kid': 'https://theworldwatch.com/members/1323232/'}"
 Punishing the Drug Dealer's Wife ,The Seer,31K Views,13 Comments,0:45,https://theworldwatch.com/videos/1619511/punishing-the-drug-dealer-s-wife/,"{' ': 'No link available', 'Elwapito': 'https://theworldwatch.com/members/1324617/', 'aang69': 'https://theworldwatch.com/members/1321241/', 'Kunter-X': 'https://theworldwatch.com/members/1324168/', 'SouthParkBadGuy': 'https://theworldwatch.com/members/1324500/', 'Ultraphonics': 'https://theworldwatch.com/members/1324638/', 'LordTorquemada': 'https://theworldwatch.com/members/1318226/', 'learsikcuf': 'https://theworldwatch.com/members/1323919/', 'Hackintosh': 'https://theworldwatch.com/members/1319936/', 'KillerManJaro': 'https://theworldwatch.com/members/1324629/'}"
 She is HOT and 2 Feet Taller but that Doesn't Stop this Guy ,sally,5.3K Views,14 Comments,0:46,https://theworldwatch.com/videos/1619489/she-is-3-feet-taller-butthat-doesn-t-stop-this-guy/,"{' ': 'No link available', 'Kunter-X': 'https://theworldwatch.com/members/1324168/', 'WessyD': 'https://theworldwatch.com/members/1324564/', 'GoonGumpas': 'https://theworldwatch.com/members/1322558/', 'ScreaminMime': 'https://theworldwatch.com/members/1323106/', 'LordTorquemada': 'https://theworldwatch.com/members/1318226/', 'BigJimsWornOutTireSale': 'https://theworldwatch.com/members/1323681/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'Happyman71': 'https://theworldwatch.com/members/1323467/', 'The_Carcass_Kid': 'https://theworldwatch.com/members/1323232/', 'Hackintosh': 'https://theworldwatch.com/members/1319936/'}"
 Myanmar: Man is surprised with Death Blows as Civil War Continues in this Region ,HMG87,5.3K Views,17 Comments,1:11,https://theworldwatch.com/videos/1619458/myanmar-man-is-surprised-with-death-blows-as-civil-war-continues-in-this-region/,"{' ': 'No link available', 'FrankKrank': 'https://theworldwatch.com/members/1321147/', 'Kunter-X': 'https://theworldwatch.com/members/1324168/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'MaxiePaddy': 'https://theworldwatch.com/members/871125/', 'HateYew': 'https://theworldwatch.com/members/1322688/', 'Phuc_Libtards': 'https://theworldwatch.com/members/1324446/', 'LordTorquemada': 'https://theworldwatch.com/members/1318226/', 'ScreaminMime': 'https://theworldwatch.com/members/1323106/', 'The_Carcass_Kid': 'https://theworldwatch.com/members/1323232/', 'Cripple': 'https://theworldwatch.com/members/1320263/'}"
 Mexico: 27 Year Old Woman was Beheaded and Scalped...Video is Graphic ,The Seer,29K Views,9 Comments,0:44,https://theworldwatch.com/videos/1619456/mexico-27-year-old-woman-was-beheaded-and-scalped-video-is-graphic/,"{' ': 'No link available', 'Kunter-X': 'https://theworldwatch.com/members/1324168/', 'Elliot87': 'https://theworldwatch.com/members/1322420/', 'assembler': 'https://theworldwatch.com/members/960112/', 'Pleaseevolve777': 'https://theworldwatch.com/members/1324205/', 'Phuc_Libtards': 'https://theworldwatch.com/members/1324446/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'SouthParkBadGuy': 'https://theworldwatch.com/members/1324500/', 'WessyD': 'https://theworldwatch.com/members/1324564/', 'LordTorquemada': 'https://theworldwatch.com/members/1318226/'}"
 Bungling Criminals Attempt to Steal Propane...Turns into a Comedy. (Watch both Ca... ,Philligan,5.3K Views,8 Comments,4:01,https://theworldwatch.com/videos/1619454/bungling-criminals-attempt-to-steal-propane-turns-into-a-comedy-watch-both-camera-angles/,"{' ': 'No link available', 'SexyNative': 'https://theworldwatch.com/members/1324119/', 'Kunter-X': 'https://theworldwatch.com/members/1324168/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'medfoto': 'https://theworldwatch.com/members/71043/', 'EatMyShortsYo': 'https://theworldwatch.com/members/1322632/', 'SouthParkBadGuy': 'https://theworldwatch.com/members/1324500/', 'Cripple': 'https://theworldwatch.com/members/1320263/'}"
