text,poster,views,comments,length,link
 Wife catches Husband Naked in Bed with Fat Girl and goes Nuts ,sally,6.1K Views,15 Comments,0:27,https://theworldwatch.com/videos/1619462/wife-catches-husband-naked-in-bed-with-fat-girl-and-goes-nuts/
 Bride is Mistreated by Groom...Brothers of the Bride don't Like It ,sally,6.4K Views,10 Comments,0:23,https://theworldwatch.com/videos/1619464/bride-is-mistreated-by-groom-brothers-of-the-bride-don-t-like-it/
 In a Favela in Brazil...Dead Man hangs like a Pair of Sneakers (Stealing Copper) ,The Seer,1.2K Views,2 Comments,0:45,https://theworldwatch.com/videos/1619465/in-a-favela-in-brazil-dead-man-hangs-like-a-pair-of-sneakers-stealing-copper/
 Full Unedited: Girl Accused of Killing Taxi Driver is Beaten and Set on Fire in G... ,The Seer,10K Views,15 Comments,4:39,https://theworldwatch.com/videos/1619478/full-unedited-girl-accused-of-killing-taxi-driver-is-beaten-and-set-on-fire-in-guatemala/
 WHOA: 30 People Get Trapped Upside Down on an Amusement Park Ride in Portland ,Karelin,39K Views,11 Comments,0:51,https://theworldwatch.com/videos/1619452/whoa-30-people-get-trapped-upside-down-on-an-amusement-park-ride-in-portland/
 The PROPER Technique for a Close Grip Bench Press of your Girlfriend ,HMG87,2.9K Views,6 Comments,0:26,https://theworldwatch.com/videos/1619472/the-proper-technique-for-a-close-grip-bench-press/
 Moscow: Man loading Van in Street is Killed Violently ,Philligan,2.8K Views,3 Comments,0:29,https://theworldwatch.com/videos/1619460/moscow-man-loading-van-in-street-is-killed-violently/
 FREAKY Redhead in Aisle 3. She is having so much Fun in this Supermarket ,The Seer,21K Views,20 Comments,1:00,https://theworldwatch.com/videos/1619475/freaky-redhead-in-aisle-3-she-is-having-so-much-fun-in-this-supermarket/
 Just Big for nothing ,Amine666world,5.8K Views,15 Comments,0:48,https://theworldwatch.com/videos/1619447/just-big-for-nothing/
 Girl so High she can't even pull up Her Pants ,The Seer,7.6K Views,7 Comments,0:35,https://theworldwatch.com/videos/1619471/girl-so-high-she-can-t-even-pull-up-her-pants/
 Oblivious Woman High as a Kite from Sucking Aerosol Cans after Accident ,The Seer,4.3K Views,11 Comments,0:39,https://theworldwatch.com/videos/1619470/oblivious-woman-high-as-a-kite-from-sucking-aerosol-cans-after-accident/
 Shock Saturday: Mom pushing Baby Stroller has her Life Ruined by Stranger. Stron... ,sally,3.5K Views,7 Comments,0:51,https://theworldwatch.com/videos/1619477/shock-saturday-mom-pushing-baby-stroller-has-her-life-ruined-by-stranger-strong-images/
 Super Hero Customer Hops the Counter to Deliver Right Hand to Robber ,The Seer,4.4K Views,7 Comments,0:37,https://theworldwatch.com/videos/1619469/super-hero-customer-hops-the-counter-to-deliver-right-hand-to-robber/
 Uncivilized Animals Attack Ride Technician at an Amusement Park ,Karelin,3.7K Views,11 Comments,3:34,https://theworldwatch.com/videos/1619450/uncivilized-animals-attack-ride-technician-at-an-amusement-park/
 New Mexico Police Officer Fired for Murdering Unarmed Woman who Drove Away ,The Seer,3.2K Views,18 Comments,1:15,https://theworldwatch.com/videos/1619476/new-mexico-police-officer-fired-for-murdering-unarmed-woman-who-drove-away/
 Man becomes Death Ornament for City in Colombia ,Philligan,1.8K Views,3 Comments,0:55,https://theworldwatch.com/videos/1619459/man-becomes-death-ornament-for-city-in-colombia/
 Does Anyone want to Help Her on How to Use this Machine? ,sally,3.9K Views,6 Comments,0:09,https://theworldwatch.com/videos/1619473/does-anyone-want-to-help-her-on-how-to-use-this-machine/
 Happy Saturday TWW! Have a Wonderful Weekend...She Will ,The Seer,2.9K Views,3 Comments,0:11,https://theworldwatch.com/videos/1619461/happy-saturday-tww-have-a-wonderful-weekend-she-will/
 Inmate Stabs Corrections officer with Jail Made Shank ,Karelin,3.9K Views,3 Comments,0:18,https://theworldwatch.com/videos/1619449/inmate-stabs-corrections-officer-with-jail-made-shank/
 Their Autistic Son Got a Survey About Sex and Trans Nonsense...They Didn't Like That. ,Karelin,2.6K Views,6 Comments,5:33,https://theworldwatch.com/videos/1619451/their-autistic-son-got-a-survey-about-sex-and-trans-nonsense-they-didn-t-like-that/
 DAMN: Suicidal Deer Jumps Head First Through a Bus. ,Karelin,1.8K Views,3 Comments,0:12,https://theworldwatch.com/videos/1619413/damn-suicidal-deer-jumps-head-first-through-a-bus/
 Man Runs over Elderly Man..gets Out of the Car and moves the Body ,HMG87,2.2K Views,4 Comments,0:59,https://theworldwatch.com/videos/1619431/man-runs-over-elderly-man-gets-out-of-the-car-and-moves-the-body/
" Attack of a Woman in India, apparently intentional. ",Philligan,2.1K Views,2 Comments,0:38,https://theworldwatch.com/videos/1619437/attack-of-a-woman-in-india-apparently-intentional/
 Nashville Cop Arrested After Starring in an OnlyFans Video in Uniform While on Duty ,Karelin,5.7K Views,8 Comments,1:00,https://theworldwatch.com/videos/1619412/nashville-cop-arrested-after-starring-in-an-onlyfans-video-in-uniform-while-on-duty/
 WOW: Employee with NO Hesitation Shoots Thug tryingto Rob Store ,sally,13K Views,36 Comments,0:53,https://theworldwatch.com/videos/1619424/wow-employee-with-no-hesitation-shoots-thug-tryingto-rob-store/
 G-String Wearing Blonde Humps Sunroof with a BABY in the Car ,HMG87,2.9K Views,18 Comments,0:16,https://theworldwatch.com/videos/1619438/g-string-wearing-blonde-humps-sunroof-with-a-baby-in-the-car/
 Blagoveshchensk Russia. Minivan Drunk Driver Runs over Entire Crowd Killing Many ... ,The Seer,3.6K Views,8 Comments,1:29,https://theworldwatch.com/videos/1619434/blagoveshchensk-russia-minivan-drunk-driver-runs-over-entire-crown-killing-many-see-aftermath/
 Colombia: Elderly Man Shoots Himself with .38 Revolver ,The Seer,2.6K Views,6 Comments,1:10,https://theworldwatch.com/videos/1619432/colombia-elderly-man-shoots-himself-with-38-revolver/
 Mumbai Resident's Horror after discovering a Human Finger in her Cone of Ice Cream ,The Seer,2.9K Views,6 Comments,0:09,https://theworldwatch.com/videos/1619430/mumbai-resident-s-horror-after-discovering-a-human-finger-in-her-cone-of-ice-cream/
 Plainclothes Police Officer defended Herself with Gunfire against an Attempted Rob... ,sally,4.5K Views,6 Comments,0:46,https://theworldwatch.com/videos/1619423/plainclothes-police-officer-defended-herself-with-gunfire-against-an-attempted-robbery/
 A talking cat ,Swerty,8.9K Views,25 Comments,0:07,https://theworldwatch.com/videos/1619444/a-talking-cat/
 Fireworks...2 Indians Blown Off their Motorcycle and a Woman Killed by Firework in... ,The Seer,2.5K Views,7 Comments,0:32,https://theworldwatch.com/videos/1619446/fireworks-2-indians-blown-off-their-motorcycle-and-a-woman-hit-by-firework-in-front-of-her-kids/
 Woman Run Over by Truck in Horrific Way more than Once ,The Seer,2.2K Views,2 Comments,0:22,https://theworldwatch.com/videos/1619422/woman-run-over-by-truck-in-horrific-way-more-than-once/
 Crazy Boyfriend Beats the Heck out of Man who took his Girlfriends Beer ,Philligan,4.1K Views,7 Comments,0:32,https://theworldwatch.com/videos/1619421/crazy-boyfriend-beats-the-heck-out-of-man-who-took-his-girlfriends-beer/
 Tik-Tok Guy Films his Friend's End of Life (Extended) ,sally,6.2K Views,8 Comments,0:30,https://theworldwatch.com/videos/1619443/tik-tok-guy-films-his-friend-s-end-of-life-extended/
 Moment when Amusement Park Ride goes Off the Rails..sending One Man in the Air ,The Seer,4.4K Views,8 Comments,0:23,https://theworldwatch.com/videos/1619420/moment-when-amusement-park-ride-goes-off-the-rails-sending-one-man-in-the-air/
 Seizing the opportunities...this is Funny ,The Seer,5.7K Views,9 Comments,0:27,https://theworldwatch.com/videos/1619440/seizing-the-opportunities-this-is-funny/
 Murder of Man by Knife after taking Sip of Beer. Shocking Murder ,The Seer,4.9K Views,3 Comments,3:18,https://theworldwatch.com/videos/1619426/murder-of-man-by-knife-after-taking-sip-of-beer-shocking-murder/
 Surprise! This Woman kind of Shocked Me Once She Pulls Them Out...Compilation of ... ,HMG87,7.4K Views,15 Comments,1:00,https://theworldwatch.com/videos/1619442/surprise-this-woman-kind-of-shocked-me-once-she-pulls-them-out-compilation-of-same-girl/
 Armed Felon Shot in a Vehicle After Refusing to Comply With Officer Commands ,sally,2.5K Views,8 Comments,1:30,https://theworldwatch.com/videos/1619419/armed-felon-shot-in-a-vehicle-after-refusing-to-comply-with-officer-commands/
 2 Russian Girls are Killed by Car...Watch Close ,The Seer,3.2K Views,7 Comments,0:36,https://theworldwatch.com/videos/1619445/2-russian-girls-are-killed-by-car-watch-close/
 Giantess Destroys Girl in Bikini in Girls Boxing for Fun ,The Seer,7.5K Views,7 Comments,0:17,https://theworldwatch.com/videos/1619433/giantess-destroys-girl-in-bikini-in-girls-boxing-for-fun/
 Hero Lone Cop vs 7-member gang fleeing Heist ,sally,3.7K Views,2 Comments,0:59,https://theworldwatch.com/videos/1619418/hero-lone-cop-vs-7-member-gang-fleeing-heist/
" Dead Woman found in the Sand in São Luís, Brazil ",sally,1.8K Views,3 Comments,0:37,https://theworldwatch.com/videos/1619429/dead-woman-found-in-the-sand-in-sao-luis-brazil/
 Two men in Liaoning railway station struck by lightning ,sally,1.8K Views,1 Comments,0:22,https://theworldwatch.com/videos/1619417/two-men-in-liaoning-railway-station-struck-by-lightning/
 Happy Friday TWW...Find a Girl this Weekend who Dances Like This ,The Seer,4.1K Views,7 Comments,0:22,https://theworldwatch.com/videos/1619441/happy-friday-tww-find-a-girl-this-weekend-who-dances-like-this/
" Heavy Set Woman Jumps from Window, Splits Her Head Open ",The Seer,3.4K Views,8 Comments,0:43,https://theworldwatch.com/videos/1619435/woman-jumps-from-window-see-how-she-lands/
 Mexico: Crazy Murder of Ex-Lover by Female and Friends (See Description) ,Philligan,2.7K Views,1 Comments,2:46,https://theworldwatch.com/videos/1619425/mexico-crazy-murder-of-ex-lover-by-female-and-friends-see-description/
 Brazil: Drowned Woman is Found by Fisherman in Brazil ,The Seer,943 Views,0 Comments,0:45,https://theworldwatch.com/videos/1619427/brazil-drowned-woman-is-found-by-fisherman-in-brazil/
" Andrew Tate Burns $110,597,600 of His Crypto Currency Supply ""Daddy"" ",Karelin,3.8K Views,15 Comments,1:21,https://theworldwatch.com/videos/1619416/andrew-tate-burns-110-597-600-of-his-crypto-currency-supply-daddy/
 White Woman having Sex with a Ghost? Que the X-Files ,HMG87,4.7K Views,8 Comments,0:31,https://theworldwatch.com/videos/1619439/white-woman-having-sex-with-a-ghost-que-the-x-files/
 Watch the Kid in the Striped Shirt...Drive By Happens Fast ,sally,1.5K Views,2 Comments,1:56,https://theworldwatch.com/videos/1619428/watch-the-kid-in-the-striped-shirt-drive-by-happens-fast/
 Italians Don't Play.... Wild Fist Fight Breaks Out on Parliament Floor ,Karelin,2.0K Views,7 Comments,0:27,https://theworldwatch.com/videos/1619415/italians-don-t-play-wild-fist-fight-breaks-out-on-parliament-floor/
 Old Man using Cane figures Why Not.. ,sally,1.8K Views,1 Comments,0:14,https://theworldwatch.com/videos/1619436/old-man-using-cane-figures-why-not/
 Candace Owens Goes off on Piers Morgan over Israel and The Genocide of Christians. ,JohnRocker,2.2K Views,12 Comments,2:25,https://theworldwatch.com/videos/1619414/candace-owens-goes-off-on-piers-morgan-over-israel-and-the-mainstream-complicate-genocide-of-christians/
 Based Chick Drops the Truth about Women in 2024 ,JohnRocker,5.9K Views,13 Comments,0:40,https://theworldwatch.com/videos/1619382/based-chick-drops-the-truth-about-women-in-2024/
 Stephen Baldwins Daughter is a Wild Bishhhhh ,JohnRocker,4.8K Views,9 Comments,1:16,https://theworldwatch.com/videos/1619381/stephen-baldwins-daughter-is-a-wild-bishhhhh/
 A close encounter with China's sewer-oil trade ,Swerty,3.7K Views,9 Comments,0:24,https://theworldwatch.com/videos/1619411/a-close-encounter-with-china-s-sewer-oil-trade/
 Trump 2024! That's a Hard Yes for Me. ,Karelin,4.5K Views,18 Comments,0:11,https://theworldwatch.com/videos/1619410/trump-2024-that-s-a-hard-yes-for-me/
 Girl falls into the Ring of Death Quickly Killing Her ,The Seer,6.3K Views,6 Comments,0:30,https://theworldwatch.com/videos/1619408/girl-falls-into-the-ring-of-death-quickly-killing-her/
 Drug Addict does the Impossible. Escaping Barbed Wire Facility only to Belly Flop ,HMG87,3.6K Views,7 Comments,0:21,https://theworldwatch.com/videos/1619407/drug-addict-does-the-impossible-escaping-barbed-wire-facility-only-to-belly-flop/
 Watch What happens when this Donkey wants a Selfie with a Train ,The Seer,5.1K Views,12 Comments,0:12,https://theworldwatch.com/videos/1619402/watch-what-happens-when-this-donkey-wants-a-selfie-with-a-train/
 Stay Alert while Cycling..this Lady will Tell You... ,HMG87,6.0K Views,8 Comments,0:30,https://theworldwatch.com/videos/1619401/stay-alert-while-cycling-this-lady-will-tell-you/
 Man with Horse is Killed by Thrown Bottle...Crazy ,Philligan,5.0K Views,8 Comments,0:25,https://theworldwatch.com/videos/1619399/man-with-horse-is-killed-by-flying-bottle-crazy/
 Psycho Naked Man Gushes Blood as he Slits his Throat with a Sword ,The Seer,3.8K Views,12 Comments,1:12,https://theworldwatch.com/videos/1619406/psycho-naked-man-gushes-blood-as-he-slits-his-throat-with-a-sword/
 The Man picks up a Stun Grenade and Loses his Hand ,sally,7.0K Views,6 Comments,0:08,https://theworldwatch.com/videos/1619394/the-man-picks-up-a-stun-grenade-and-loses-his-hand/
 Live Suicide of Bullion Dealer who gets the Guts to Finally End his Life (Strong I... ,The Seer,4.2K Views,8 Comments,3:04,https://theworldwatch.com/videos/1619392/live-suicide-of-bullion-dealer-who-gets-the-guts-to-finally-end-his-life-strong-images/
 Watch the Blonde in the Purple Backpack...Killed by Falling Rock (Aftermath) ,Karelin,5.3K Views,7 Comments,1:10,https://theworldwatch.com/videos/1619383/shocking-moment-a-rockfall-kills-a-female-tourist/
 Girl out for a Cigarette on the Ledge loses Her Life ,The Seer,5.1K Views,11 Comments,0:15,https://theworldwatch.com/videos/1619400/girl-out-for-a-cigarette-on-the-ledge-loses-her-life/
 Wait a Minute? Beautiful Blonde Wrestling a Man? Boy I bet he's really Hurtin ,sally,5.7K Views,7 Comments,1:00,https://theworldwatch.com/videos/1619395/wait-a-minute-beautiful-blonde-wrestling-a-man-boy-i-bet-he-s-really-hurtin/
 I didn't Believe in Love at First Site Until.... ,sally,5.2K Views,8 Comments,0:15,https://theworldwatch.com/videos/1619403/i-didn-t-believe-in-love-at-first-site-until/
